pageid,shelf,book,page,filepath,hasrefractive,hasextinction,rangeMin,rangeMax,points
0,main,Ag,Johnson,main\Ag\Johnson.yml,1,1,0.1879,1.937,49
2,main,Ag,McPeak,main\Ag\McPeak.yml,1,1,0.3,1.7,141
3,main,Ag,Babar,main\Ag\Babar.yml,1,1,0.2066,12.4,69
4,main,Ag,Wu,main\Ag\Wu.yml,1,1,0.287493,0.999308,450
5,main,Ag,Werner,main\Ag\Werner.yml,1,1,0.017586,2.479684,150
6,main,Ag,Stahrenberg,main\Ag\Stahrenberg.yml,1,1,0.12782,0.49594,361
7,main,Ag,Windt,main\Ag\Windt.yml,1,1,0.00236,0.12157,36
8,main,Ag,Hagemann,main\Ag\Hagemann.yml,1,1,2.48e-06,248.0,148
12,main,Ag,Rakic-BB,main\Ag\Rakic-BB.yml,1,1,0.24797,12.398,200
13,main,Ag,Rakic-LD,main\Ag\Rakic-LD.yml,1,1,0.24797,12.398,200
14,main,Ag,Werner-DFT,main\Ag\Werner-DFT.yml,1,1,0.017586,2.479684,150
15,main,Al,Rakic,main\Al\Rakic.yml,1,1,0.00012399,200.0,206
16,main,Al,McPeak,main\Al\McPeak.yml,1,1,0.15,1.7,297
17,main,Al,Larruquert,main\Al\Larruquert.yml,1,1,0.077,0.1135,13
18,main,Al,Ordal,main\Al\Ordal.yml,1,1,0.667,200.0,51
19,main,Al,Hagemann,main\Al\Hagemann.yml,1,1,1.033e-05,1240.0,148
21,main,Al,Rakic-BB,main\Al\Rakic-BB.yml,1,1,0.061992,247.97,200
22,main,Al,Rakic-LD,main\Al\Rakic-LD.yml,1,1,0.061992,247.97,1000
23,main,MgAl2O4,Tropf,main\MgAl2O4\Tropf.yml,1,0,0.35,5.5,200
24,main,Y3Al5O12,Zelmon,main\Y3Al5O12\Zelmon.yml,1,0,0.4,5.0,200
25,main,Ar,Bideau-Mehu,main\Ar\Bideau-Mehu.yml,1,0,0.1404,0.5677,200
26,main,Ar,Peck-0C,main\Ar\Peck-0C.yml,1,0,0.4679,2.0587,200
27,main,Ar,Peck-15C,main\Ar\Peck-15C.yml,1,0,0.4679,2.0587,200
